what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.5",1317436006515
java.vendor,sysinfo,,,"Apple Inc.",1317436006515
java.version,sysinfo,,,"1.5.0_30",1317436006515
java.vm.info,sysinfo,,,"mixed mode",1317436006515
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1317436006515
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317436006515
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317436006515
java.vm.specification.version,sysinfo,,,"1.0",1317436006515
java.vm.vendor,sysinfo,,,"Apple Inc.",1317436006515
java.vm.version,sysinfo,,,"1.5.0_30-161",1317436006515
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1317436006529
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1317436017354
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1317436017419
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1317436017439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317436028656
started,bundle,org.eclipse.dltk.rse.core,2.0.1.v20100804-1944,"org.eclipse.dltk.rse.core",1317436035576
started,bundle,org.eclipse.rse.core,3.1.102.R32x_v201102011435,"org.eclipse.rse.core",1317436035593
started,bundle,org.eclipse.rse.services,3.2.2.R32x_v201102011435,"org.eclipse.rse.services",1317436035629
started,bundle,org.eclipse.rse.ui,3.1.102.R32x_v201102011435,"org.eclipse.rse.ui",1317436035954
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.1.v201008191400,"org.eclipse.rse.subsystems.files.core",1317436035962
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.101.v200907301400,"org.eclipse.rse.subsystems.files.local",1317436035964
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.shells.core",1317436035993
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.local",1317436036004
started,bundle,org.eclipse.rse.connectorservice.local,2.1.100.v200905272300,"org.eclipse.rse.connectorservice.local",1317436036044
started,bundle,org.eclipse.rse.services.local,2.1.202.R32x_v201102011435,"org.eclipse.rse.services.local",1317436036055
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1317436096487
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1317436096539
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1317436096574
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1317436096740
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1317436096748
